BRAND & NAME,Quick Access Pocket (#),Additional Notes,Bag Style Opening,Compression Straps,Depth (inches),Expandable,Expandable Volume,Handles,Height (inches),LINKS,Laptop Access,Lash Points (outside),Load Lifters,Luggage Pass Through / Trolley Sleeve,Material,Max. Laptop Size (in),Org Slots/Pockets,Origin of Company,Packable,Picture,Price (USD),QAP Location,Sternum Strap,Type,Volume (liters),WBP Location,Warranty,Water Bottle Pockets (#),Weight (lbs),Width (inches)
5.11 Rush 12 2.0,2,"External front and side molle.
Waist strap sold separately.",Clamshell,2,6.5,No,No,1,18,https://www.511tactical.com/rush12-2-0-backpack.html&sa=D&source=editors&ust=1740763375907952&usg=AOvVaw0yMNy0PJm3cGjXT2gac4ga,Internal sleeve,4,No,No,1050D nylon (MultiCam® 1000D nylon),15,No,USA 🇺🇸,No,https://4elementsclothing.co.uk/cdn/shop/products/511-tactical511-tactical-511-tactical-rush-12-20-backpack-with-laptop-compartment-style-56561bag56561-019-421496.jpg?v=1706925240&width=1536,110,front & side,Yes,Backpack,24,No,2 years,no,3.2,11
5.11 Tactical RUSH 24 2.0,3,MOLLE platform throughout; CCW pocket; rear hydration compartment; back panel ventilation channels,Clamshell,2,8,No,,1,20,https://www.511tactical.com/rush24-2-0-backpack.html,Internal sleeve,>10,No,No,1050D Nylon,16,Yes,USA 🇺🇸,No,"https://www.511tactical.com/media/catalog/product/5/6/56563abr_560_02.jpg?quality=100&bg-color=255,255,255&fit=bounds&height=855&width=855",140,front & top,Yes,Backpack,37,No,2 years,no,3.85,12.5
5.11 Tactical RUSH 72 2.0,2,MOLLE platform; CCW pocket; hydration compartment; waist strap; aluminum stay bar reinforced back panel; 3-day/extended range pack,Clamshell,no,8.5,No,,1,23,https://www.511tactical.com/rush72-2-0-backpack.html,Internal sleeve,>10,No,No,1050D Nylon,15,Yes,USA 🇺🇸,No,"https://www.511tactical.com/media/catalog/product/5/6/56565_134_rush72-2point0_01_2.jpg?quality=100&bg-color=255,255,255&fit=bounds&height=855&width=855",190,front & top,Yes,Backpack,55,No,2 years,no,5.29,13.5
Able Carry Daily Backpack,1,".5 hidden cash pocket
diagnoal front pocket",180° Half Zip,no,7.5,No,No,1,19,https://ablecarry.com/products/daily-backpack?variant%3D31828597047409&sa=D&source=editors&ust=1740763375909795&usg=AOvVaw1jgNpO-TVYADLjWMHufC3j,Internal sleeve,4,No,No,Nylon 1000D or Xpac VX21,16,Yes,Hongkong 🇭🇰,No,https://ablecarry.com/cdn/shop/products/Daily-Backpack-Cordura-NavyRight_900x.png?v=1695971609,160,top,Yes,Backpack,20,front,Lifetime,1,2,11
Able Carry Daily Plus,1,Hidden water-bottle pocket.,180° Half Zip,no,7.5,No,No,1,19.5,https://ablecarry.com/products/daily-plus?variant%3D49465862226232&sa=D&source=editors&ust=1740763375911407&usg=AOvVaw3Ettf0kzlfXKFs034TbHWt,Internal sleeve,>10,No,No,x-Pax VX21 or Cordura.,16,Yes,Hongkong 🇭🇰,No,https://suburban.com.hk/cdn/shop/files/DailyPlusX-PacCoyoteBrown_Right_1100x_5985f799-4af9-486e-a6cb-86e58da841d2.png?v=1713772162,179,top,Yes,Backpack,21,Side,Lifetime,1,2.6,11.5
Able Carry Daybreaker 2,1,,180° Half Zip,no,7.5,No,No,2,19.7,https://ablecarry.com/products/daybreaker-2?variant=44113323229496,Internal sleeve,>10,No,No,Ripstop or X-PAC,15,No,Hongkong 🇭🇰,No,https://www.feverguy.com/cdn/shop/products/Daybreaker2-X-PacOliveGreen-2.png?v=1681830216,139,side,Yes,Backpack,25,Side,Lifetime,1,1.4,10.2
Able Carry Max EDC,1,"Card slot in strap.
Waist belt separate.
Removable framesheet.",Clamshell,no,7.5,No,No,3,19.5,https://ablecarry.com/products/max-edc?variant%3D49140367753528&sa=D&source=editors&ust=1740763375912993&usg=AOvVaw2qI-K6N0CVsXllOavVnEmq,External compartment,>10,No,No,Ripstop or X-PAC,17,No,Hongkong 🇭🇰,No,https://www.mukama.com/cdn/shop/files/blue.jpg?v=1727755924&width=1214,280,top,Yes,Backpack,26,Side,Lifetime,1,3.4,12
Able Carry Max EDC 30L,1,"Card slot in strap.
Waist belt separate.
Removable framesheet.",Clamshell,no,7.9,No,No,3,20.4,https://ablecarry.com/products/max-edc?variant%3D49140367753528&sa=D&source=editors&ust=1740763375912993&usg=AOvVaw2qI-K6N0CVsXllOavVnEmq,External compartment,>10,No,No,Ripstop or X-PAC,17,No,Hongkong 🇭🇰,No,https://ablecarry.com/cdn/shop/products/EarthGreenRight_1100x.png?v=1718895055,334,top,Yes,Backpack,30,Side,Lifetime,1,3.9,12.6
Able Carry Max EDC 32L,1,"Card slot in strap.
Waist belt separate.
Removable framesheet.",Clamshell,no,8.7,Yes,32,3,20.4,https://ablecarry.com/products/max-edc?variant%3D49140367753528&sa=D&source=editors&ust=1740763375912993&usg=AOvVaw2qI-K6N0CVsXllOavVnEmq,External compartment,>10,No,No,Ripstop or X-PAC,17,No,Hongkong 🇭🇰,No,https://ablecarry.com/cdn/shop/files/MaxBackpack32LRipstopBlack-Left_1680x.png?v=1747390701,336,top,Yes,Backpack,32,Side,Lifetime,1,3.9,12.6
Able Carry Max Pack,1,Lockable zips,Clamshell,no,8,No,No,1,20.5,https://ablecarry.com/products/max?variant%3D32104084078705&sa=D&source=editors&ust=1740763375914775&usg=AOvVaw3-SRX386FW_82-RGyjgSzm,External compartment,no,No,No,X-Pac and Cordura 1000D Nylon,17,Yes,Hongkong 🇭🇰,No,https://ablecarry.com/cdn/shop/products/EarthGreenRight.png?v=1718895055,278,top,Yes,Backpack,30,Side,Lifetime,1,3.7,12.5
Able Carry Thirteen Daybag,1,Hidden pocket on strap and rear.,180° Half Zip,no,6.5,No,No,1,17.5,https://ablecarry.com/products/thirteen-daybag?variant%3D47332905648440&sa=D&source=editors&ust=1740763375916356&usg=AOvVaw2d2b6-VgKudN27vQZaMqE0,Internal sleeve,no,No,No,X-Pac,14,Yes,Hongkong 🇭🇰,No,https://suburban.com.hk/cdn/shop/files/ThirteenDaybagCorduraRipstopTan-Right.png?v=1713853827,178,front,Yes,Backpack,13,Side,Lifetime,1,1.4,10.5
AER City Pack 2,2,,Clamshell,no,5.5,No,No,3,18,https://aersf.com/collections/city-collection/products/city-pack-2?country=US,Internal sleeve,4,No,Yes,1680D Cordura® ballistic nylon exterior,16,Yes,USA 🇺🇸,No,https://aersf.com/cdn/shop/products/aer_citypackpro_olive.jpg?v=1678853911,149,top & front,Yes,Backpack,16,Side,Lifetime,1,2.5,12
